scenario,truth_regime,condition,seed,baseline_prevalence,post_shift_prevalence,flip_fraction,quality_start,quality_post_shift,quality_final,adaptation_time,adapted,adaptation_gap,writes,observations,AOD,RR
credit_risk_UCI350,static,reference,1,0.22,0.3,0.08,0.7,0.925,1.0,0,1,0.0,4800,1600,1.0,0.9362
credit_risk_UCI350,static,reference,2,0.22,0.29,0.07,0.775,0.825,1.0,0,1,0.0,4800,1600,1.0,0.9368
credit_risk_UCI350,static,reference,3,0.22,0.32,0.1,0.625,0.9,0.95,0,1,0.0,4800,1600,1.0,0.94
credit_risk_UCI350,static,reference,4,0.22,0.33,0.11,0.8,0.95,0.975,0,1,0.0,4800,1600,1.0,0.9376
credit_risk_UCI350,static,reference,5,0.22,0.36,0.14,0.7,0.9,1.0,0,1,0.0,4800,1600,1.0,0.9397
credit_risk_UCI350,static,behavioural,1,0.22,0.3,0.08,0.7,0.725,0.6,3,1,0.4,4800,1600,1.0,0.9362
credit_risk_UCI350,static,behavioural,2,0.22,0.29,0.07,0.775,0.775,0.825,0,1,0.175,4800,1600,1.0,0.9368
credit_risk_UCI350,static,behavioural,3,0.22,0.32,0.1,0.625,0.825,0.725,0,1,0.225,4800,1600,1.0,0.94
credit_risk_UCI350,static,behavioural,4,0.22,0.33,0.11,0.8,0.8,0.775,0,1,0.2,4800,1600,1.0,0.9376
credit_risk_UCI350,static,behavioural,5,0.22,0.36,0.14,0.7,0.675,0.6,4,1,0.4,4800,1600,1.0,0.9397
credit_risk_UCI350,static,architectural,1,0.22,0.3,0.08,0.7,0.75,0.65,3,1,0.35,4800,1600,1.0,0.9778
credit_risk_UCI350,static,architectural,2,0.22,0.29,0.07,0.775,0.775,0.8,0,1,0.2,4800,1600,1.0,0.978
credit_risk_UCI350,static,architectural,3,0.22,0.32,0.1,0.625,0.8,0.75,0,1,0.2,4800,1600,1.0,0.9791
credit_risk_UCI350,static,architectural,4,0.22,0.33,0.11,0.8,0.85,0.8,0,1,0.175,4800,1600,1.0,0.9782
credit_risk_UCI350,static,architectural,5,0.22,0.36,0.14,0.7,0.75,0.675,3,1,0.325,4800,1600,1.0,0.979
credit_risk_UCI350,abrupt_shift,reference,1,0.22,0.3,0.08,0.7,0.9,1.0,0,1,0.0,4800,1600,1.0,0.9362
credit_risk_UCI350,abrupt_shift,reference,2,0.22,0.29,0.07,0.775,0.875,0.975,0,1,0.0,4800,1600,1.0,0.9368
credit_risk_UCI350,abrupt_shift,reference,3,0.22,0.32,0.1,0.625,0.9,0.95,0,1,0.0,4800,1600,1.0,0.94
credit_risk_UCI350,abrupt_shift,reference,4,0.22,0.33,0.11,0.8,0.9,0.975,0,1,0.0,4800,1600,1.0,0.9376
credit_risk_UCI350,abrupt_shift,reference,5,0.22,0.36,0.14,0.7,0.775,1.0,0,1,0.0,4800,1600,1.0,0.9397
credit_risk_UCI350,abrupt_shift,behavioural,1,0.22,0.3,0.08,0.7,0.675,0.65,17,1,0.35,4800,1600,1.0,0.9362
credit_risk_UCI350,abrupt_shift,behavioural,2,0.22,0.29,0.07,0.775,0.825,0.775,0,1,0.2,4800,1600,1.0,0.9368
credit_risk_UCI350,abrupt_shift,behavioural,3,0.22,0.32,0.1,0.625,0.8,0.75,1,1,0.2,4800,1600,1.0,0.94
credit_risk_UCI350,abrupt_shift,behavioural,4,0.22,0.33,0.11,0.8,0.75,0.725,1,1,0.25,4800,1600,1.0,0.9376
credit_risk_UCI350,abrupt_shift,behavioural,5,0.22,0.36,0.14,0.7,0.65,0.6,,0,0.4,4800,1600,1.0,0.9397
credit_risk_UCI350,abrupt_shift,architectural,1,0.22,0.3,0.08,0.7,0.7,0.65,16,1,0.35,4800,1600,1.0,0.9778
credit_risk_UCI350,abrupt_shift,architectural,2,0.22,0.29,0.07,0.775,0.825,0.75,0,1,0.225,4800,1600,1.0,0.978
credit_risk_UCI350,abrupt_shift,architectural,3,0.22,0.32,0.1,0.625,0.725,0.7,,0,0.25,4800,1600,1.0,0.9791
credit_risk_UCI350,abrupt_shift,architectural,4,0.22,0.33,0.11,0.8,0.8,0.75,0,1,0.225,4800,1600,1.0,0.9782
credit_risk_UCI350,abrupt_shift,architectural,5,0.22,0.36,0.14,0.7,0.725,0.675,5,1,0.325,4800,1600,1.0,0.979
